date,city,cases,country
2022-02-21,San Martin,30,Peru
2022-02-22,San Martin,21,Peru
2022-02-23,San Martin,7,Peru
2022-02-24,San Martin,18,Peru
2022-02-25,San Martin,7,Peru
2022-02-26,San Martin,12,Peru
2022-02-27,San Martin,9,Peru
2022-02-28,San Martin,11,Peru
2022-03-01,San Martin,3,Peru
2022-03-02,San Martin,5,Peru
2022-03-03,San Martin,8,Peru
2022-03-04,San Martin,6,Peru
2022-03-05,San Martin,4,Peru
2022-03-06,San Martin,0,Peru
2022-03-07,San Martin,11,Peru
2022-03-08,San Martin,5,Peru
2022-03-09,San Martin,9,Peru
2022-03-10,San Martin,6,Peru
2022-03-11,San Martin,3,Peru
2022-03-12,San Martin,7,Peru
2022-03-13,San Martin,0,Peru
2022-03-14,San Martin,6,Peru
2022-03-15,San Martin,2,Peru
2022-03-16,San Martin,2,Peru
2022-03-17,San Martin,4,Peru
2022-03-18,San Martin,3,Peru
2022-03-19,San Martin,2,Peru
2022-03-20,San Martin,0,Peru
2022-03-21,San Martin,6,Peru
2022-03-22,San Martin,3,Peru
2022-03-23,San Martin,0,Peru
2022-03-24,San Martin,1,Peru
2022-03-25,San Martin,2,Peru
2022-03-26,San Martin,1,Peru
2022-03-27,San Martin,0,Peru
2022-03-28,San Martin,2,Peru
2022-03-29,San Martin,0,Peru
2022-03-30,San Martin,1,Peru
2022-03-31,San Martin,6,Peru
2022-04-01,San Martin,0,Peru
2022-04-02,San Martin,0,Peru
2022-04-03,San Martin,1,Peru
2022-04-04,San Martin,0,Peru
2022-04-05,San Martin,1,Peru
2022-04-06,San Martin,0,Peru
2022-04-07,San Martin,0,Peru
2022-04-08,San Martin,2,Peru
2022-04-09,San Martin,0,Peru
2022-04-10,San Martin,0,Peru
2022-04-11,San Martin,0,Peru
2022-04-12,San Martin,1,Peru
2022-04-13,San Martin,0,Peru
2022-04-14,San Martin,0,Peru
2022-04-15,San Martin,1,Peru
2022-04-16,San Martin,2,Peru
2022-04-17,San Martin,0,Peru
2022-04-18,San Martin,2,Peru
2022-04-19,San Martin,4,Peru
2022-04-20,San Martin,1,Peru
2022-04-21,San Martin,2,Peru
2022-04-22,San Martin,2,Peru
2022-04-23,San Martin,1,Peru
2022-04-24,San Martin,0,Peru
2022-04-25,San Martin,2,Peru
2022-04-26,San Martin,0,Peru
2022-04-27,San Martin,2,Peru
2022-04-28,San Martin,1,Peru
2022-04-29,San Martin,1,Peru
2022-04-30,San Martin,0,Peru
2022-05-01,San Martin,0,Peru
2022-05-02,San Martin,0,Peru
2022-05-03,San Martin,3,Peru
2022-05-04,San Martin,2,Peru
2022-05-05,San Martin,0,Peru
2022-05-06,San Martin,1,Peru
2022-05-07,San Martin,0,Peru
2022-05-08,San Martin,0,Peru
2022-05-09,San Martin,0,Peru
2022-05-10,San Martin,0,Peru
2022-05-11,San Martin,0,Peru
2022-05-12,San Martin,1,Peru
2022-05-13,San Martin,1,Peru
2022-05-14,San Martin,0,Peru
2022-05-15,San Martin,0,Peru
2022-05-16,San Martin,0,Peru
2022-05-17,San Martin,0,Peru
2022-05-18,San Martin,0,Peru
2022-05-19,San Martin,0,Peru
2022-05-20,San Martin,0,Peru
2022-05-21,San Martin,0,Peru
2022-05-22,San Martin,0,Peru
2022-05-23,San Martin,0,Peru
2022-05-24,San Martin,0,Peru
2022-05-25,San Martin,0,Peru
2022-05-26,San Martin,0,Peru
2022-05-27,San Martin,0,Peru
2022-05-28,San Martin,0,Peru
2022-05-29,San Martin,0,Peru
2022-05-30,San Martin,1,Peru
2022-05-31,San Martin,0,Peru
2022-06-01,San Martin,0,Peru
2022-06-02,San Martin,1,Peru
2022-06-03,San Martin,1,Peru
2022-06-04,San Martin,0,Peru
2022-06-05,San Martin,0,Peru
2022-06-06,San Martin,1,Peru
2022-06-07,San Martin,1,Peru
2022-06-08,San Martin,1,Peru
2022-06-09,San Martin,1,Peru
2022-06-10,San Martin,1,Peru
2022-06-11,San Martin,0,Peru
2022-06-12,San Martin,0,Peru
2022-06-13,San Martin,0,Peru
2022-06-14,San Martin,1,Peru
2022-06-15,San Martin,0,Peru
2022-06-16,San Martin,3,Peru
2022-06-17,San Martin,0,Peru
2022-06-18,San Martin,2,Peru
2022-06-19,San Martin,0,Peru
2022-06-20,San Martin,4,Peru
2022-06-21,San Martin,2,Peru
2022-06-22,San Martin,2,Peru
2022-06-23,San Martin,6,Peru
2022-06-24,San Martin,1,Peru
2022-06-25,San Martin,1,Peru
2022-06-26,San Martin,1,Peru
